match_id,home_vote,away_vote
12298438,40,46
12298445,8,4
12298447,22,62
12298448,6,24
12298449,6,24
12298450,150,6
12298451,2,28
12298452,32,26
12298457,18,14
12298492,66,6
12298541,2,72
12298630,0,0
12298718,8,12
12298767,30,38
12298791,0,12
12260078,2988,3644
12260081,5820,9704
12260083,3826,2458
12260084,8342,4676
12261592,8006,1566
12261593,8794,7196
12261594,2912,5094
12276773,450,204
12276774,184,212
12276775,678,480
12276783,122,2110
12276806,546,338
12276807,482,54
12276813,340,10
12276814,120,196
12276815,174,410
12276816,172,58
12276818,66,392
12276819,350,78
12276824,40,34
12276828,22,38
12276829,54,84
12276830,14,4
12276832,1124,2496
12276833,2258,312
12276834,4002,1338
12276835,4,46
12276836,1570,2404
12276838,1992,992
12276839,682,466
12276841,522,1468
12276844,5456,794
12276846,1488,1592
12276855,244,986
12276856,2660,930
12276857,202,2764
12276858,3680,212
12276861,1122,1184
12276862,700,574
12276863,2142,132
12276864,16,114
12276865,278,3018
12276866,806,52
12276924,1296,92
12276925,84,122
12276926,468,334
12276927,1182,194
12276928,260,266
12276929,1324,206
12276934,602,986
12276937,182,98
12276938,140,38
12276974,558,420
12276975,1332,460
12276976,24,96
12276978,518,996
12276979,1248,130
12276981,144,218
12276982,128,236
12276983,62,588
12276984,1308,64
12276986,496,900
12276987,212,298
12287005,1430,168
12287009,104,1556
12287012,8,508
12288414,28,14
12288415,14,10
12288416,6,36
12288417,88,34
12288418,90,8
12288419,88,16
12288420,182,76
12288421,14,122
12288918,3358,348
12288919,1066,660
12288922,0,1826
12288925,664,340
12288926,1182,124
12288931,290,322
12288932,648,526
12289660,24,164
12289664,32,78
12289667,22,18
12289670,16,8
12289671,42,22
12289677,60,18
12289691,0,32
12291698,312,224
12291704,146,54
12292820,28,114
12292823,58,20
12292824,32,2
12292828,2,24
12292930,14,4
12292931,44,12
12292932,20,44
12292933,46,28
12292934,56,0
12292935,10,32
12292936,14,46
12292937,18,26
12293472,48,4
12293474,48,72
12293477,56,2
12293483,0,26
12293486,28,0
12293487,28,18
12293490,20,14
12293495,24,2
12293496,54,4
12293497,22,0
12293501,0,12
12293505,32,82
12293507,22,26
12293508,18,2
12293509,56,40
12293510,6,28
12293516,6,10
12293524,92,60
12293528,56,58
12293530,8,16
12293531,6,24
12293534,30,16
12293535,106,8
12293541,20,18
12293558,38,72
12293559,134,856
12293564,292,482
12293652,88,8
12293653,100,8
12293656,4,70
12293657,80,14
12293728,2,76
12293729,16,12
12293730,2,12
12293739,24,2
12293741,0,32
12293743,0,6
12293745,54,4
12293747,90,2
12293748,22,56
12293750,36,8
12293751,20,24
12293756,24,18
12293757,42,26
12293758,54,32
12293759,20,66
12293760,4,30
12293761,8,80
12295042,0,4
12295043,4,6
12295101,2,68
12295104,14,80
12295105,4,24
12295106,32,2
12295110,90,10
12295121,76,58
12295130,32,104
12295137,62,448
12295143,48,34
12295148,6,104
12295151,2,16
12295152,20,10
12295162,42,30
12295172,16,10
12295180,58,26
12295181,18,144
12295220,16,12
12295223,18,6
12295300,24,12
12295352,48,180
12295353,68,22
12295369,4,2
12295374,318,20
12295430,108,2
12295438,50,32
12295516,8,76
12295525,26,10
12295535,2,24
12295539,8,50
12295550,2,4
12295555,48,4
12295558,34,6
12295588,30,10
12295590,1066,244
12295614,316,92
12295720,104,0
12295735,76,28
12295739,22,336
12295812,10,24
12295817,44,6
12295840,68,0
12295842,266,76
12295981,0,12
12296103,4,6
12296104,6,28
12296105,40,26
12296106,16,2
12296107,0,2
12296108,16,6
12296109,34,10
12296111,106,18
12296133,96,22
12296151,62,8
12296152,28,2
12296153,10,20
12296154,62,40
12296155,2,2
12296156,50,48
12296157,4,40
12296158,4,38
12296178,146,0
12296179,6,24
12296180,68,38
12296181,34,32
12296182,2,44
12296183,82,4
12296184,54,30
12296185,52,156
12296279,48,30
12296445,64,2
12297011,152,312
12297018,18,4
12297020,150,54
12297021,20,26
12297022,10,0
12297023,110,64
12297024,4,14
12297025,6,10
12297026,2,40
12297034,22,42
12297159,36,216
12297170,44,228
12297278,44,22
12297336,264,82
12297534,12,44
12297556,70,12
12297572,96,0
12297576,82,12
12297589,2,0
12297590,10,144
12297602,2,48
12297633,10,42
12297637,26,38
12297638,40,20
12297639,24,62
12297640,54,16
12297641,26,54
12297668,14,14
12297671,62,32
12297674,90,98
12297681,84,10
12297684,4,238
12297685,138,44
12297726,14,12
12297727,34,46
12297740,2,22
12297741,8,34
12297748,16,76
12297768,24,20
12297824,24,16
12297825,14,6
12297826,32,40
12297827,36,62
12297828,10,24
12297829,24,90
12297842,90,46
12297843,8,42
12297844,0,104
12297878,56,2
12297879,44,78
12297880,2,78
12297881,12,46
12297903,84,4
12297924,2,14
12297964,0,30
12297965,4,36
12297966,78,18
12297967,10,46
12297978,14,18
12297986,2,104
12297990,164,512
12298012,26,20
12298013,6,12
12298014,24,22
12298044,36,2
12298084,34,24
12298085,34,12
12298086,14,54
12298087,100,20
12298088,32,210
12298097,6,52
12298098,2,10
12298099,0,50
12298100,30,36
12298101,8,26
12298103,38,20
12298149,44,12
12298150,16,40
12298151,4,8
12298152,74,4
12298153,20,20
12298187,6,26
12298211,26,6
12298213,14,2
12298214,24,18
12298215,26,44
12298221,14,34
12298225,4,12
12298245,54,14
12298247,52,8
12298275,20,36
12298276,46,12
12298277,4,54
12298278,70,6
12298279,90,20
12298336,56,12
12298337,94,12
12298341,6,30
12298342,92,20
12298343,40,18
12298345,24,74
12298371,6,6
12298372,24,64
12298375,86,64
12298376,60,2
12298406,68,4
12298407,0,20
12298410,18,6
12298411,48,114
12298430,60,48
12298434,74,0
12298435,34,6
12298436,24,40
12298438,8,18
12298441,40,34
12298445,20,0
12298447,14,70
12298448,12,24
12298449,6,90
12298450,66,24
12298451,8,22
12298452,28,38
12298457,60,12
12298492,44,0
12298510,0,12
12298511,82,4
12298534,24,32
12298541,8,58
12298542,2,98
12298543,34,88
12298547,20,68
12298549,46,12
12298550,32,16
12298551,38,10
12298553,22,18
12298582,68,12
12298585,156,38
12298586,2,86
12298595,8,0
12298599,46,94
12298630,0,0
12298644,76,10
12298718,32,8
12298737,18,134
12298767,0,34
12298791,10,2
12298795,12,10
12298800,40,154
12298801,66,100
12298802,60,14
12298803,8,48
12298804,0,56
12298806,44,56
12298945,90,24
12298993,50,30
12298994,42,150
12298995,26,26
12298996,2,10
12298997,20,26
12298998,92,4
12298999,64,0
12299034,24,22
12299042,28,40
12299454,52,2
12299478,100,28
12299479,10,98
12299492,34,8
12299493,6,40
12299494,72,16
12299503,0,36
12299621,8,66
12299627,430,104
12299628,44,112
12299649,126,76
12299654,104,2
12299656,94,4
12299857,106,54
12299916,56,0
12299933,214,116
12299952,6,56
12299979,76,24
12300022,56,24
12300065,12,68
12300090,20,34
12300111,8,58
12300112,100,28
12300122,12,42
12300159,46,58
12300228,74,36
12300262,38,22
12300263,62,2
12300264,40,40
12300269,20,6
12300335,32,142
12300356,0,30
12300396,14,8
12300397,158,28
12300398,8,106
12300425,54,18
12300450,36,26
12300483,42,70
12300496,10,58
12300497,56,0
12300498,68,38
12300516,22,88
12300544,0,16
12300545,80,4
12300546,122,40
12300594,40,38
12300610,20,106
12300620,212,36
12300657,30,18
12300659,14,18
12300674,20,184
12300688,2,64
12300740,68,68
12300797,48,104
12300835,108,36
12300836,122,12
12300862,12,4
12300971,162,26
12301004,108,34
12301005,96,92
12301029,52,20
12301030,36,78
12301031,30,44
12301034,0,34
12301039,102,64
12301049,48,2
12301053,36,6
12301128,96,36
12301140,68,68
12301215,8,174
12301217,22,32
12302789,64,22
12260084,23708,4916
12261530,1312,15862
12261531,9582,18678
12261592,2140,10
12261593,3536,9364
12276770,678,898
12276777,1892,262
12276778,310,60
12276779,392,592
12276805,738,174
12276806,990,226
12276807,660,224
12276808,268,186
12276812,654,66
12276813,398,22
12276814,588,126
12276815,10,390
12276816,704,190
12276817,1188,170
12276818,96,2
12276819,138,82
12276824,80,22
12276825,44,162
12276826,70,88
12276828,2,16
12276829,84,86
12276830,6,28
12276832,998,2692
12276833,2942,616
12276834,5514,850
12276835,6,6
12276836,966,1220
12276837,684,274
12276838,382,176
12276839,240,448
12276841,342,5350
12276842,1674,690
12276844,1676,738
12276845,324,382
12276846,536,280
12276855,274,3012
12276856,2016,414
12276858,1602,414
12276859,552,3060
12276860,3684,242
12276862,1398,506
12276864,584,290
12276865,614,1236
12276866,2254,56
12276868,1104,2268
12276923,332,510
12276926,596,0
12276928,298,128
12276930,578,74
12276931,1500,278
12276933,132,40
12276934,6,22
12276935,24,810
12276974,526,652
12276977,782,924
12276979,700,126
12276982,422,60
12276984,768,218
12276985,1556,160
12276988,1318,680
12295110,2,28
12295121,70,208
12295137,8,188
12295180,142,58
12295181,2,208
12295203,32,2
12295353,244,28
12295374,218,2
12295414,188,30
12295438,182,40
12295535,144,16
12295588,32,12
12295739,58,142
12295981,4,12
12296111,50,4
12296133,66,34
12296180,172,34
12296279,6,68
12296445,62,6
12297011,104,190
12297602,0,12
12297637,76,28
12297684,60,86
12297829,8,142
12297842,88,18
12298084,124,18
12298085,102,2
12298215,32,22
12298247,114,34
12298341,10,52
12298342,84,48
12298430,84,28
12298435,34,6
12298441,20,36
12298510,54,2
12298511,4,14
12298534,56,10
12298542,48,6
12298543,28,24
12298547,2,68
12298549,116,56
12298550,0,10
12298551,42,106
12298553,4,80
12298582,38,2
12298585,30,38
12298586,8,10
12298595,28,6
12298599,24,28
12298644,70,72
12298718,32,4
12298737,60,6
12298767,2,6
12298795,8,34
12298800,36,96
12298801,52,164
12298802,10,14
12298803,12,24
12298804,22,52
12298806,28,80
12298945,62,32
12298993,32,58
12298994,16,146
12298995,8,58
12298996,28,0
12298997,16,36
12298998,0,2
12298999,0,24
12299034,26,132
12299042,60,28
12299454,32,32
12299478,132,114
12299479,72,16
12299492,88,22
12299493,20,14
12299494,78,14
12299503,2,74
12299621,128,0
12299627,432,188
12299628,20,70
12299649,252,18
12299654,54,4
12299656,2,4
12299857,166,48
12299916,212,20
12299933,162,106
12299952,20,0
12299979,168,22
12300022,86,44
12300065,4,40
12300090,24,54
12300111,20,58
12300112,30,4
12300122,110,48
12300123,30,176
12300159,46,52
12300228,96,14
12300262,42,38
12300263,64,38
12300264,80,86
12300269,4,4
12300302,32,160
12300335,62,128
12300355,6,48
12300356,20,16
12300396,72,2
12300397,184,6
12300398,20,136
12300425,26,102
12300450,92,12
12300483,98,18
12300496,16,22
12300497,22,26
12300498,92,12
12300515,76,48
12300516,20,72
12300544,8,14
12300545,170,8
12300546,318,68
12300594,4,58
12300610,6,62
12300620,36,16
12300657,36,132
12300659,118,6
12300674,10,106
12300688,58,48
12300740,64,100
12300797,114,128
12300835,54,34
12300836,144,8
12300862,90,50
12300935,12,122
12300971,208,14
12300999,96,72
12301004,70,30
12301005,56,22
12301029,92,8
12301030,22,132
12301031,124,40
12301032,280,74
12301034,2,162
12301039,166,42
12301049,48,26
12301053,52,12
12301060,76,12
12301127,126,124
12301128,100,26
12301140,40,162
12301215,8,68
12301216,28,42
12301217,104,20
12301323,108,8
12301329,4,136
12301357,6,26
12301358,58,12
12301375,56,70
12301450,36,100
12301513,48,108
12301547,54,132
12301549,284,28
12301588,228,16
12301594,24,30
12301636,92,62
12301637,30,252
12301647,28,42
12301676,306,274
12301690,200,20
12301802,48,64
12302253,14,272
12302360,132,16
12302427,148,14
12302428,214,30
12302429,294,78
12302564,50,116
12302740,354,144
12302789,76,20
12302913,106,82
12303052,110,128
12303053,190,58
12303054,56,68
12303110,64,70
12303124,2,94
12303127,74,118
12303136,32,38
12303150,170,32
12303199,14,116
12303200,72,38
12303201,134,124
12303202,26,46
12303219,32,2
12303226,456,6
12303264,76,2
12303271,4,94
12303314,198,60
12303413,154,290
12303435,326,18
12303437,264,58
12303484,106,8
12303589,60,212
12303632,102,42
12303664,40,432
12303737,140,36
12303789,98,18
12303790,90,118
12303819,28,38
12304022,42,72
12304047,72,22
12304086,44,176
12304192,50,4
12304489,94,74
12305630,2,8
12305645,38,28
12305646,0,28
12305659,16,6
12305678,10,62
12305690,14,24
12305691,8,0
12261530,3258,18382
12261531,10794,18918
12261565,3200,1688
12276770,790,3452
12276771,156,398
12276777,1824,1040
12276778,30,2112
12276779,20,1572
12276780,188,1050
12276782,352,1104
12276805,8,150
12276808,6,534
12276809,1632,76
12276810,1000,1454
12276811,994,238
12276812,470,326
12276817,766,552
12276825,52,48
12276826,34,100
12276827,108,22
12276835,10,24
12276837,2,154
12276839,244,44
12276840,1070,1534
12276842,1776,672
12276843,754,958
12276845,84,236
12276859,516,282
12276860,1376,80
12276865,1094,2674
12276868,1316,3652
12276869,584,2904
12276923,340,136
12276926,704,0
12276930,1014,120
12276931,1312,702
12276932,1086,46
12276933,386,724
12276935,64,508
12276974,340,910
12276977,30,256
12276980,1300,1102
12276985,984,614
12276988,810,850
12295121,50,128
12295203,12,36
12295414,240,34
12295438,34,34
12297829,34,162
12300123,38,88
12300228,0,4
12300269,70,24
12300302,144,80
12300355,120,52
12300397,70,20
12300515,20,4
12300620,186,10
12300657,16,292
12300935,22,100
12300999,24,10
12301005,96,66
12301029,12,76
12301032,144,4
12301049,0,16
12301060,42,50
12301127,330,50
12301128,22,18
12301216,20,18
12301323,26,0
12301329,84,100
12301357,42,100
12301358,2,16
12301375,18,52
12301450,42,40
12301513,16,32
12301547,94,146
12301549,10,10
12301588,248,18
12301594,128,2
12301636,190,76
12301637,94,22
12301647,16,34
12301676,254,182
12301690,132,66
12301802,18,42
12302253,30,290
12302360,372,16
12302427,378,38
12302428,324,68
12302429,78,66
12302564,304,84
12302740,362,84
12302789,26,22
12302913,96,96
12303052,22,110
12303053,68,12
12303054,10,362
12303110,78,58
12303124,0,162
12303127,38,122
12303136,34,94
12303150,192,104
12303199,16,92
12303200,148,6
12303201,168,4
12303202,20,10
12303219,18,60
12303226,338,304
12303264,80,32
12303271,10,124
12303314,12,38
12303413,14,132
12303435,4,102
12303437,238,94
12303464,152,18
12303484,62,74
12303589,0,408
12303632,206,28
12303664,40,394
12303737,144,14
12303789,150,12
12303790,16,198
12303819,136,44
12303986,174,50
12304022,136,132
12304027,28,38
12304047,18,26
12304062,62,252
12304086,2,4
12304192,40,38
12304199,144,96
12304389,244,64
12304489,4,14
12304515,132,18
12304646,126,36
12304869,100,176
12305248,450,96
12305314,392,104
12305315,608,142
12305630,8,14
12305645,14,8
12305646,12,26
12305659,20,26
12305661,246,38
12305662,70,0
12305663,0,10
12305664,26,0
12305665,0,0
12305666,12,4
12305667,8,2
12305668,8,78
12305669,16,62
12305670,56,22
12305671,4,10
12305672,42,34
12305673,22,16
12305674,24,0
12305675,0,4
12305676,2,2
12305677,16,30
12305678,24,36
12305681,100,124
12305690,8,30
12305691,4,10
12305692,18,106
12305710,14,48
12305712,30,168
12305721,2,6
12305734,32,142
12305743,126,18
12305744,58,14
12305745,14,88
12305746,126,96
12305747,0,0
12305748,46,250
12305749,408,6
12305750,0,20
12305751,48,276
12305752,192,18
12305753,58,22
12305754,40,398
12305755,6,0
12305784,114,28
12305789,326,56
12305798,4,0
12305799,4,4
12305800,2,0
12305801,2,0
12305802,0,2
12305803,0,0
12305804,2,0
12305805,0,2
12305806,2,0
12305807,0,0
12305808,2,0
12305809,0,0
12305810,8,0
12305811,0,2
12305812,0,0
12305918,74,40
12305955,40,34
12305966,270,116
12305991,150,204
12306020,0,2
12306021,0,0
12306022,0,0
12306023,0,0
12306024,4,0
12306025,6,4
12306026,0,0
12306027,0,12
12306028,2,4
12306029,6,6
12306030,2,0
12306031,2,4
12306032,0,0
12306033,0,0
12306034,2,0
12306035,0,0
12306036,0,2
12306037,2,0
12306038,0,0
12306039,0,0
12306040,8,52
12306041,0,0
12306042,0,0
12306043,6,0
12306045,2,0
12306046,4,0
12306047,0,0
12306048,4,2
12306049,0,2
12306050,18,2
12306051,2,0
12306052,2,0
12306053,0,0
12306054,0,2
12306055,0,6
12306056,2,0
12306057,2,0
12306058,0,0
12306059,8,4
12306060,2,2
12306061,0,0
12306062,6,2
12306063,4,0
12306064,0,0
12306065,2,2
12306066,8,0
12306067,2,0
12306068,0,0
12306069,0,0
12306070,2,2
12306071,0,0
12306072,0,2
12306073,2,0
12306074,2,2
12306075,0,2
12306076,0,4
12306077,0,2
12306078,0,0
12306079,0,2
12306094,0,0
12306095,0,0
12306096,0,6
12306098,4,0
12306099,6,2
12306100,4,0
12306101,0,2
12306102,0,0
12306103,4,0
12306104,0,0
12306105,4,0
12306106,8,2
12306107,2,0
12306108,0,0
12306109,0,2
12306110,2,4
12306111,0,8
12306112,0,0
12306113,2,0
12306114,6,2
12306115,2,4
12306116,8,0
12306117,0,0
12306118,0,2
12306119,4,0
12306120,2,4
12306121,0,0
12306122,4,2
12306123,2,8
12306124,4,4
12306125,0,0
12306132,110,32
12306137,4,0
12306138,0,0
12306139,2,0
12306140,2,0
12306141,18,6
12306142,4,2
12306143,0,0
12306144,2,2
12306145,2,12
12306146,0,6
12306147,0,2
12306148,0,6
12306149,2,4
12306150,0,0
12306151,0,4
12306152,0,12
12306153,4,4
12306154,0,6
12306155,0,0
12306156,2,0
12306157,6,0
12306158,0,0
12306159,0,0
12306160,0,4
12306161,0,2
12306181,0,0
12306213,0,16
12306214,2,18
12306215,2,40
12306216,90,12
12306217,6,4
12306218,0,44
12306219,2,10
12306220,12,4
12306221,4,46
12306222,2,0
12306224,10,30
12306287,0,0
12306288,0,2
12306289,2,0
12306290,8,6
12306291,6,14
12306292,0,6
12306293,2,2
12306294,2,0
12306295,0,2
12306296,2,2
12306297,4,2
12306298,2,0
12306299,4,0
12306300,0,4
12306301,0,0
12306312,34,6
12306313,8,0
12306314,2,22
12306315,4,28
12306316,32,4
12306317,2,42
12306319,44,0
12306323,2,46
12306324,0,66
12306328,20,0
12306331,362,346
12306333,48,16
12306352,92,16
12306353,0,0
12306354,0,2
12306355,0,4
12306356,4,0
12306357,0,6
12306358,0,0
12306359,0,8
12306360,2,0
12306362,2,2
12306363,2,0
12306364,200,36
12306365,384,6
12306372,46,50
12306375,216,10
12306378,0,2
12306379,0,0
12306380,0,0
12306381,4,6
12306383,4,0
12306384,0,8
12306385,6,0
12306386,0,0
12306387,26,0
12306388,0,2
12306390,0,2
12306392,2,2
12306393,8,2
12306396,22,6
12306397,0,2
12306398,0,0
